,exp,ACC_val,MSE_train,MSE_val,cpu_energy,cpu_power,cpu_usage,disk_usage,emissions,emissions_rate,energy_consumed,gpu_energy,gpu_power,memory_usage,param_batch_size,param_epochs,param_lr,param_seed,ram_energy,ram_power,train_epoch_time_ms,epochs,lr_min,lr_max
exp,1.0,0.34309923758984645,-0.35,-0.35,0.9,0.36067782795068126,0.910844487911861,,0.9166666666666666,0.8666666666666667,0.9166666666666666,,,-0.10350983390135314,0.9486832980505138,,-0.31622776601683794,1.0,0.95,,0.9666666666666667,,-0.31622776601683794,-0.31622776601683794
ACC_val,0.34309923758984645,1.0,-0.5272012675161055,-0.6276205565667923,0.25941649671427414,0.5820912491649642,0.13677212098967617,,0.25941649671427414,0.17573375583870182,0.25941649671427414,,,0.10394383930128556,0.15877683720748895,,-0.6086445426287076,0.34309923758984645,0.3347309635022892,,0.41004543029030427,,-0.6086445426287076,-0.6086445426287076
MSE_train,-0.35,-0.5272012675161055,1.0,0.9666666666666667,-0.08333333333333333,-0.5410167419260219,-0.22132669799727464,,-0.1,0.03333333333333333,-0.1,,,0.41403933560541256,-0.05270462766947299,,0.9486832980505138,-0.35,-0.16666666666666666,,-0.21666666666666667,,0.9486832980505138,0.9486832980505138
MSE_val,-0.35,-0.6276205565667923,0.9666666666666667,1.0,-0.08333333333333333,-0.4637286359365902,-0.2468643939200371,,-0.1,0.05,-0.1,,,0.20701966780270628,-0.05270462766947299,,0.9486832980505138,-0.35,-0.16666666666666666,,-0.21666666666666667,,0.9486832980505138,0.9486832980505138
cpu_energy,0.9,0.25941649671427414,-0.08333333333333333,-0.08333333333333333,1.0,0.1975140486396588,0.9193570532194485,,0.9833333333333333,0.9833333333333333,0.9833333333333333,,,-0.10350983390135314,0.9486832980505138,,0.0,0.9,0.95,,0.9333333333333333,,0.0,0.0
cpu_power,0.36067782795068126,0.5820912491649642,-0.5410167419260219,-0.4637286359365902,0.1975140486396588,1.0,0.061405871308579545,,0.2748021546290905,0.1545762119788634,0.2748021546290905,,,-0.5333386009010834,0.16293763397807054,,-0.6517505359122822,0.36067782795068126,0.3950280972793176,,0.43796593394011296,,-0.6517505359122822,-0.6517505359122822
cpu_usage,0.910844487911861,0.13677212098967617,-0.22132669799727464,-0.2468643939200371,0.9193570532194485,0.061405871308579545,1.0,,0.9193570532194485,0.8767942266815111,0.9193570532194485,,,-0.0528680532637681,0.9152492334988814,,-0.13459547551454137,0.910844487911861,0.8853067919890986,,0.8512565307587486,,-0.13459547551454137,-0.13459547551454137
disk_usage,,,,,,,,,,,,,,,,,,,,,,,,
emissions,0.9166666666666666,0.25941649671427414,-0.1,-0.1,0.9833333333333333,0.2748021546290905,0.9193570532194485,,1.0,0.9666666666666667,1.0,,,-0.10350983390135314,0.9486832980505138,,-0.05270462766947299,0.9166666666666666,0.9833333333333333,,0.95,,-0.05270462766947299,-0.05270462766947299
emissions_rate,0.8666666666666667,0.17573375583870182,0.03333333333333333,0.05,0.9833333333333333,0.1545762119788634,0.8767942266815111,,0.9666666666666667,1.0,0.9666666666666667,,,-0.10350983390135314,0.9486832980505138,,0.10540925533894598,0.8666666666666667,0.9333333333333333,,0.9166666666666666,,0.10540925533894598,0.10540925533894598
energy_consumed,0.9166666666666666,0.25941649671427414,-0.1,-0.1,0.9833333333333333,0.2748021546290905,0.9193570532194485,,1.0,0.9666666666666667,1.0,,,-0.10350983390135314,0.9486832980505138,,-0.05270462766947299,0.9166666666666666,0.9833333333333333,,0.95,,-0.05270462766947299,-0.05270462766947299
gpu_energy,,,,,,,,,,,,,,,,,,,,,,,,
gpu_power,,,,,,,,,,,,,,,,,,,,,,,,
memory_usage,-0.10350983390135314,0.10394383930128556,0.41403933560541256,0.20701966780270628,-0.10350983390135314,-0.5333386009010834,-0.0528680532637681,,-0.10350983390135314,-0.10350983390135314,-0.10350983390135314,,,1.0,0.0,,0.32732683535398854,-0.10350983390135314,-0.10350983390135314,,-0.10350983390135314,,0.32732683535398854,0.32732683535398854
param_batch_size,0.9486832980505138,0.15877683720748895,-0.05270462766947299,-0.05270462766947299,0.9486832980505138,0.16293763397807054,0.9152492334988814,,0.9486832980505138,0.9486832980505138,0.9486832980505138,,,0.0,1.0,,0.0,0.9486832980505138,0.9486832980505138,,0.9486832980505138,,0.0,0.0
param_epochs,,,,,,,,,,,,,,,,,,,,,,,,
param_lr,-0.31622776601683794,-0.6086445426287076,0.9486832980505138,0.9486832980505138,0.0,-0.6517505359122822,-0.13459547551454137,,-0.05270462766947299,0.10540925533894598,-0.05270462766947299,,,0.32732683535398854,0.0,,1.0,-0.31622776601683794,-0.15811388300841897,,-0.21081851067789195,,1.0,1.0
param_seed,1.0,0.34309923758984645,-0.35,-0.35,0.9,0.36067782795068126,0.910844487911861,,0.9166666666666666,0.8666666666666667,0.9166666666666666,,,-0.10350983390135314,0.9486832980505138,,-0.31622776601683794,1.0,0.95,,0.9666666666666667,,-0.31622776601683794,-0.31622776601683794
ram_energy,0.95,0.3347309635022892,-0.16666666666666666,-0.16666666666666666,0.95,0.3950280972793176,0.8853067919890986,,0.9833333333333333,0.9333333333333333,0.9833333333333333,,,-0.10350983390135314,0.9486832980505138,,-0.15811388300841897,0.95,1.0,,0.9833333333333333,,-0.15811388300841897,-0.15811388300841897
ram_power,,,,,,,,,,,,,,,,,,,,,,,,
train_epoch_time_ms,0.9666666666666667,0.41004543029030427,-0.21666666666666667,-0.21666666666666667,0.9333333333333333,0.43796593394011296,0.8512565307587486,,0.95,0.9166666666666666,0.95,,,-0.10350983390135314,0.9486832980505138,,-0.21081851067789195,0.9666666666666667,0.9833333333333333,,1.0,,-0.21081851067789195,-0.21081851067789195
epochs,,,,,,,,,,,,,,,,,,,,,,,,
lr_min,-0.31622776601683794,-0.6086445426287076,0.9486832980505138,0.9486832980505138,0.0,-0.6517505359122822,-0.13459547551454137,,-0.05270462766947299,0.10540925533894598,-0.05270462766947299,,,0.32732683535398854,0.0,,1.0,-0.31622776601683794,-0.15811388300841897,,-0.21081851067789195,,1.0,1.0
lr_max,-0.31622776601683794,-0.6086445426287076,0.9486832980505138,0.9486832980505138,0.0,-0.6517505359122822,-0.13459547551454137,,-0.05270462766947299,0.10540925533894598,-0.05270462766947299,,,0.32732683535398854,0.0,,1.0,-0.31622776601683794,-0.15811388300841897,,-0.21081851067789195,,1.0,1.0
